iter	RMSE
0	58771.66009
1	55197.98957
2	52044.11139
3	49024.22007
4	46337.87833
5	43837.66782
6	41493.91011
7	39309.38143
8	37385.30978
9	35616.37771
10	33953.79242
11	32427.07879
12	31002.07811
13	29661.89425
14	28454.63388
15	27386.62184
16	26334.72943
17	25339.62497
18	24462.0582
19	23616.59482
20	22865.98326
21	22115.0373
22	21447.25294
23	20847.88764
24	20251.19533
25	19685.83164
26	19169.62026
27	18647.00441
28	18077.27757
29	17633.90599
30	17094.69008
31	16717.30363
32	16390.34955
33	16011.40221
34	15657.96757
35	15336.08185
36	15090.17055
37	14813.54985
38	14523.06512
39	14269.74009
40	14071.64578
41	13833.96239
42	13643.3952
43	13425.20932
44	13265.37064
45	13145.14648
46	12970.45023
47	12805.92146
48	12620.04054
49	12490.34033
50	12338.79584
51	12220.55257
52	12118.12343
53	12031.79132
54	11892.14316
55	11772.60519
56	11696.78294
57	11571.40063
58	11456.49744
59	11355.01399
60	11273.05616
61	11215.71061
62	11144.19224
63	11045.73756
64	10962.84084
65	10920.15422
66	10809.25617
67	10754.87649
68	10655.72092
69	10568.2149
70	10511.89801
71	10472.62606
72	10373.24923
73	10284.85655
74	10241.2827
75	10164.5811
76	10081.54156
77	10016.17445
78	9915.981885
79	9857.279061
80	9786.390974
81	9724.316547
82	9682.449753
83	9605.859669
84	9576.384089
85	9489.16685
86	9396.220358
87	9371.525236
88	9321.417038
89	9276.974618
90	9213.209639
91	9142.279818
92	9082.37612
93	9028.015152
94	8973.526779
95	8946.702881
96	8923.034051
97	8869.252466
98	8819.752093
99	8780.133511
