iter	Passed	Remaining
0	34	3443
1	72	3540
2	108	3517
3	144	3476
4	180	3430
5	215	3383
6	252	3349
7	288	3316
8	323	3274
9	359	3238
10	395	3199
11	434	3184
12	470	3146
13	506	3110
14	541	3069
15	577	3032
16	615	3005
17	650	2964
18	685	2923
19	720	2881
20	758	2853
21	793	2813
22	828	2774
23	864	2737
24	901	2704
25	938	2671
26	974	2634
27	1010	2597
28	1046	2561
29	1081	2523
30	1116	2484
31	1151	2447
32	1187	2410
33	1223	2375
34	1260	2340
35	1295	2303
36	1330	2265
37	1366	2229
38	1403	2194
39	1437	2156
40	1473	2120
41	1509	2084
42	1545	2048
43	1581	2012
44	1618	1977
45	1653	1941
46	1688	1904
47	1726	1869
48	1761	1833
49	1799	1799
50	1836	1764
51	1873	1729
52	1910	1694
53	1946	1657
54	1981	1620
55	2016	1584
56	2027	1529
57	2062	1493
58	2098	1458
59	2135	1423
60	2170	1387
61	2205	1351
62	2241	1316
63	2276	1280
64	2312	1245
65	2348	1209
66	2385	1174
67	2421	1139
68	2458	1104
69	2494	1069
70	2531	1033
71	2567	998
72	2602	962
73	2638	926
74	2674	891
75	2710	855
76	2747	820
77	2786	785
78	2821	749
79	2856	714
80	2893	678
81	2929	643
82	2965	607
83	3001	571
84	3036	535
85	3076	500
86	3113	465
87	3149	429
88	3185	393
89	3222	358
90	3258	322
91	3294	286
92	3332	250
93	3369	215
94	3405	179
95	3441	143
96	3477	107
97	3515	71
98	3551	35
99	3586	0
