iter	RMSE
0	60478.47306
1	58362.89046
2	56266.0045
3	54395.90186
4	52610.54427
5	50930.99328
6	49361.57271
7	47815.84814
8	46364.55084
9	45176.108
10	43888.80035
11	42739.22928
12	41603.87857
13	40492.21003
14	39411.39588
15	38424.10546
16	37468.8226
17	36554.3487
18	35777.78731
19	34951.68579
20	34168.37747
21	33408.1939
22	32660.41243
23	32033.77811
24	31349.49943
25	30701.64436
26	30078.11751
27	29536.50504
28	29031.2682
29	28553.65387
30	28073.48113
31	27624.2494
32	27162.78244
33	26691.93302
34	26299.8957
35	25865.05653
36	25508.44149
37	25146.54474
38	24797.24082
39	24440.53641
40	24062.3947
41	23776.75715
42	23473.26033
43	23181.60269
44	22956.0307
45	22650.33434
46	22343.66429
47	22002.23783
48	21809.66676
49	21561.06726
50	21323.06894
51	21081.7539
52	20847.22836
53	20670.86497
54	20487.5328
55	20299.63176
56	20058.52357
57	19898.96565
58	19714.12159
59	19496.77255
60	19318.15678
61	19133.89977
62	18959.85911
63	18792.16787
64	18603.92536
65	18443.98791
66	18263.10314
67	18133.82227
68	18046.94932
69	17898.06001
70	17773.9782
71	17646.37311
72	17520.30945
73	17397.08246
74	17324.16802
75	17206.94759
76	17125.56586
77	17059.65114
78	16941.01346
79	16843.69375
80	16755.72057
81	16674.16135
82	16627.34659
83	16534.52048
84	16439.33364
85	16330.70813
86	16212.45157
87	16123.73907
88	15997.74417
89	15900.84689
90	15800.94091
91	15726.01065
92	15658.11066
93	15573.7022
94	15520.1586
95	15449.61698
96	15359.81063
97	15292.75847
98	15220.10797
99	15143.59683
100	15075.29431
101	15004.19979
102	14947.42197
103	14894.4209
104	14823.38074
105	14728.84058
106	14661.08402
107	14575.23408
108	14507.25928
109	14434.3116
110	14371.2932
111	14327.19284
112	14282.43143
113	14233.24198
114	14173.2976
115	14114.67341
116	14069.0128
117	14011.35257
118	13971.41714
119	13932.67045
120	13886.23307
121	13834.61328
122	13787.38609
123	13749.74919
124	13712.6791
125	13680.5337
126	13618.92598
127	13584.73654
128	13535.72785
129	13475.61917
130	13438.12519
131	13387.13004
132	13343.40783
133	13301.99017
134	13255.67034
135	13204.67791
136	13141.42262
137	13081.2951
138	13012.42449
139	12971.61286
140	12928.96783
141	12893.33475
142	12836.8749
143	12802.30286
144	12769.89098
145	12733.3435
146	12683.87619
147	12643.98381
148	12601.84331
149	12547.7374
150	12516.47031
151	12475.53223
152	12446.10041
153	12415.20179
154	12386.56925
155	12340.62799
156	12304.37257
157	12275.28839
158	12244.88745
159	12207.80038
160	12178.32693
161	12140.69364
162	12112.71926
163	12080.96404
164	12036.23068
165	11999.11641
166	11974.47186
167	11948.09984
168	11914.19504
169	11876.89097
170	11850.77184
171	11810.95967
172	11772.85673
173	11735.97592
174	11708.45275
175	11662.22606
176	11628.99882
177	11599.1584
178	11576.23077
179	11546.56536
180	11512.44039
181	11488.9684
182	11455.31008
183	11421.12638
184	11394.19829
185	11364.03019
186	11342.86327
187	11318.15923
188	11291.79711
189	11249.39405
190	11222.30742
191	11183.65905
192	11150.81542
193	11120.01425
194	11088.17156
195	11056.0523
196	11035.87248
197	11004.7773
198	10979.6176
199	10949.21175
200	10910.99565
201	10882.73729
202	10857.16316
203	10828.96716
204	10806.28115
205	10781.11142
206	10753.72349
207	10733.57789
208	10704.9678
209	10680.9956
210	10656.29059
211	10629.26528
212	10615.07338
213	10590.43127
214	10567.42028
215	10549.13262
216	10531.79305
217	10506.72074
218	10483.51214
219	10459.35594
220	10432.56311
221	10416.70395
222	10399.62113
223	10376.93593
224	10361.96467
225	10339.67848
226	10322.39208
227	10298.16139
228	10273.87361
229	10256.38975
230	10237.45406
231	10216.63495
232	10201.99015
233	10181.96046
234	10162.23407
235	10141.80349
236	10119.45589
237	10102.63314
238	10083.79784
239	10057.96988
240	10043.30945
241	10026.15152
242	10006.66921
243	9989.864815
244	9975.264913
245	9956.047943
246	9932.060621
247	9916.655497
248	9905.551756
249	9886.491562
250	9872.512269
251	9856.713733
252	9840.29712
253	9823.801601
254	9803.977358
255	9790.45828
256	9771.919754
257	9753.337124
258	9734.848899
259	9722.737051
260	9703.042629
261	9687.832918
262	9671.324083
263	9658.399568
264	9638.974229
265	9623.979202
266	9608.714896
267	9597.909198
268	9581.399055
269	9566.375404
270	9552.924546
271	9538.8496
272	9516.670535
273	9501.837504
274	9488.425843
275	9466.653353
276	9451.205087
277	9436.812627
278	9418.57539
279	9404.891529
280	9393.837402
281	9383.083308
282	9370.487129
283	9359.249844
284	9350.21986
285	9331.117658
286	9319.939965
287	9304.329395
288	9292.891331
289	9283.693139
290	9266.889097
291	9258.775122
292	9244.87538
293	9226.421724
294	9216.893885
295	9206.238563
296	9187.000143
297	9178.810172
298	9165.243113
299	9151.855675
300	9142.048577
301	9132.018654
302	9123.220031
303	9103.386285
304	9090.708751
305	9079.706367
306	9066.498152
307	9056.087119
308	9044.617275
309	9036.802466
310	9024.460771
311	9013.07484
312	9006.147143
313	8991.536186
314	8978.660589
315	8966.073581
316	8956.554766
317	8943.375138
318	8931.490915
319	8920.471692
320	8909.182321
321	8900.958669
322	8893.736325
323	8885.226704
324	8872.018765
325	8865.828088
326	8854.623512
327	8838.221375
328	8826.623305
329	8818.994268
330	8806.075787
331	8795.595601
332	8788.203668
333	8778.510742
334	8768.443962
335	8750.403323
336	8736.034925
337	8727.515458
338	8718.712085
339	8703.883159
340	8696.871919
341	8684.671939
342	8675.406725
343	8666.613125
344	8656.051022
345	8647.520658
346	8635.874155
347	8626.049022
348	8620.088979
349	8610.634791
350	8599.408537
351	8585.444808
352	8569.46522
353	8555.266856
354	8543.546947
355	8534.605062
356	8528.139054
357	8516.835696
358	8510.648056
359	8501.294663
360	8492.960177
361	8479.814345
362	8465.297387
363	8458.332741
364	8453.152042
365	8445.892536
366	8436.276175
367	8427.70046
368	8419.207687
369	8411.719678
370	8399.814989
371	8393.959443
372	8384.329155
373	8371.015022
374	8359.482157
375	8348.314554
376	8338.385592
377	8331.932294
378	8321.880096
379	8313.141646
380	8302.61686
381	8295.309311
382	8284.260673
383	8275.581152
384	8269.451088
385	8259.079528
386	8253.682477
387	8242.294344
388	8232.964889
389	8227.386749
390	8218.981885
391	8209.907611
392	8199.146057
393	8188.637744
394	8181.951879
395	8171.552729
396	8160.238575
