iter	Passed	Remaining
0	27	27531
1	34	17283
2	41	13747
3	47	11862
4	53	10605
5	59	9907
6	65	9293
7	71	8852
8	79	8773
9	86	8566
10	93	8397
11	99	8182
12	105	7996
13	111	7837
14	117	7708
15	123	7597
16	129	7476
17	134	7357
18	140	7263
19	146	7159
20	153	7133
21	159	7081
22	165	7030
23	171	6959
24	176	6896
25	183	6865
26	189	6824
27	195	6769
28	200	6719
29	206	6677
30	211	6625
31	217	6578
32	223	6536
33	228	6498
34	234	6452
35	240	6435
36	246	6411
37	252	6381
38	258	6361
39	263	6327
40	269	6313
41	276	6301
42	281	6267
43	289	6285
44	295	6265
45	301	6249
46	307	6228
47	313	6220
48	319	6204
49	326	6197
50	331	6174
51	339	6190
52	346	6187
53	352	6182
54	358	6158
55	363	6135
56	369	6117
57	375	6098
58	381	6080
59	387	6063
60	393	6060
61	400	6058
62	406	6045
63	411	6023
64	417	6009
65	423	5993
66	429	5978
67	435	5968
68	440	5947
69	446	5931
70	452	5916
71	457	5898
72	463	5883
73	470	5885
74	477	5884
75	484	5886
76	490	5874
77	496	5868
78	502	5857
79	508	5853
80	515	5845
81	521	5833
82	526	5818
83	532	5810
84	538	5793
85	544	5789
86	550	5774
87	555	5759
88	561	5750
89	567	5735
90	572	5722
91	578	5711
92	584	5698
93	590	5686
94	596	5679
95	602	5669
96	609	5671
97	615	5663
98	622	5663
99	628	5655
100	635	5652
101	640	5640
102	646	5631
103	653	5626
104	659	5617
105	665	5610
106	670	5598
107	676	5589
108	682	5582
109	688	5569
110	694	5559
111	699	5549
112	705	5539
113	711	5532
114	718	5528
115	724	5520
116	730	5511
117	735	5499
118	741	5492
119	750	5501
120	757	5500
121	762	5488
122	768	5476
123	774	5474
124	782	5479
125	789	5475
126	795	5468
127	801	5457
128	807	5448
129	812	5439
130	818	5429
131	825	5426
132	832	5428
133	839	5426
134	845	5419
135	852	5415
136	859	5411
137	865	5403
138	871	5398
139	877	5390
140	884	5391
141	891	5385
142	897	5379
143	904	5374
144	910	5371
145	918	5371
146	925	5368
147	933	5371
148	940	5373
149	949	5378
150	958	5386
151	966	5392
152	975	5402
153	983	5404
154	991	5404
155	999	5408
156	1007	5408
157	1015	5411
158	1023	5414
159	1030	5411
160	1038	5409
161	1045	5407
162	1053	5410
163	1060	5406
164	1067	5404
165	1074	5396
166	1082	5399
167	1089	5395
168	1096	5391
169	1102	5385
170	1109	5376
171	1115	5370
172	1121	5363
173	1128	5355
174	1134	5349
175	1143	5353
176	1150	5348
177	1155	5338
178	1162	5331
179	1168	5323
180	1174	5312
181	1180	5304
182	1185	5293
183	1191	5282
184	1197	5273
185	1202	5264
186	1208	5252
187	1214	5243
188	1219	5233
189	1225	5223
190	1232	5220
191	1239	5217
192	1245	5208
193	1252	5203
194	1258	5195
195	1264	5185
196	1269	5175
197	1276	5168
198	1282	5160
199	1287	5149
200	1293	5141
201	1299	5133
202	1305	5123
203	1310	5115
204	1316	5106
205	1323	5100
206	1329	5091
207	1334	5082
208	1341	5077
209	1347	5067
210	1352	5058
211	1358	5051
212	1364	5042
213	1370	5033
214	1376	5024
215	1382	5016
216	1390	5015
217	1396	5009
218	1402	5003
219	1409	4997
220	1415	4990
221	1422	4985
222	1428	4978
223	1435	4972
224	1442	4968
225	1449	4962
226	1455	4957
227	1462	4953
228	1469	4946
229	1476	4941
230	1482	4934
231	1489	4930
232	1495	4922
233	1501	4914
234	1506	4905
235	1512	4896
236	1519	4890
237	1524	4881
238	1530	4872
239	1538	4871
240	1544	4863
241	1551	4859
242	1558	4856
243	1564	4847
244	1570	4839
245	1577	4834
246	1583	4826
247	1589	4818
248	1596	4815
249	1603	4811
250	1610	4805
251	1618	4803
252	1625	4798
253	1631	4792
254	1638	4785
255	1644	4778
256	1651	4775
257	1658	4769
258	1664	4761
259	1670	4755
260	1676	4746
261	1682	4738
262	1688	4730
263	1693	4721
264	1700	4715
265	1706	4710
266	1712	4702
267	1718	4693
268	1724	4687
269	1731	4680
270	1737	4672
271	1742	4664
272	1748	4657
273	1755	4651
274	1761	4643
275	1767	4636
276	1774	4630
277	1780	4622
278	1785	4614
279	1791	4605
280	1797	4598
281	1803	4590
282	1808	4582
283	1814	4575
284	1820	4566
285	1826	4558
286	1831	4550
287	1837	4542
288	1843	4534
289	1848	4525
290	1854	4517
291	1860	4510
292	1867	4506
293	1874	4502
294	1880	4493
295	1886	4487
296	1892	4480
297	1898	4472
298	1904	4464
299	1910	4458
300	1916	4450
301	1921	4441
302	1930	4440
303	1936	4434
304	1942	4427
305	1948	4419
306	1954	4411
307	1960	4404
308	1965	4395
309	1971	4388
310	1978	4384
311	1984	4375
312	1990	4369
313	1996	4362
314	2002	4354
315	2008	4347
316	2013	4339
317	2020	4333
318	2029	4331
319	2038	4332
320	2046	4329
321	2055	4328
322	2062	4323
323	2068	4316
324	2074	4308
325	2080	4301
326	2087	4296
327	2093	4288
328	2098	4280
329	2104	4273
330	2110	4265
331	2115	4257
332	2122	4251
333	2129	4245
334	2137	4243
335	2144	4238
336	2151	4232
337	2160	4231
338	2167	4227
339	2177	4226
340	2187	4226
341	2194	4222
342	2203	4219
343	2210	4214
344	2216	4208
345	2224	4204
346	2230	4197
347	2237	4192
348	2245	4188
349	2252	4183
350	2260	4179
351	2266	4173
352	2273	4166
353	2281	4164
354	2288	4157
355	2300	4160
356	2306	4154
357	2315	4151
358	2321	4145
359	2329	4142
360	2336	4135
361	2343	4129
362	2349	4122
363	2356	4117
364	2362	4109
365	2368	4102
366	2373	4094
367	2380	4087
368	2386	4080
369	2391	4072
370	2398	4066
371	2404	4059
372	2411	4053
373	2416	4045
374	2422	4037
375	2429	4031
376	2434	4023
377	2440	4015
378	2446	4008
379	2452	4000
380	2459	3995
381	2464	3987
382	2470	3979
383	2476	3972
384	2481	3964
385	2487	3957
386	2494	3951
387	2501	3944
388	2506	3937
389	2512	3929
390	2519	3924
391	2525	3916
392	2531	3909
393	2536	3901
394	2542	3894
395	2548	3886
396	2553	3878
397	2559	3871
398	2565	3864
399	2571	3856
400	2577	3849
401	2583	3842
402	2588	3835
403	2594	3828
404	2600	3820
405	2606	3812
406	2612	3806
407	2618	3799
408	2624	3792
409	2630	3785
410	2636	3777
411	2642	3771
412	2649	3766
413	2655	3759
414	2661	3752
415	2667	3744
416	2673	3738
417	2679	3730
418	2684	3722
419	2690	3715
420	2696	3708
421	2702	3701
422	2707	3693
423	2713	3686
424	2721	3681
425	2729	3677
426	2736	3671
427	2741	3664
428	2747	3656
429	2753	3649
430	2759	3642
431	2765	3635
432	2771	3628
433	2776	3621
434	2783	3614
435	2789	3608
436	2796	3603
437	2803	3597
438	2809	3590
439	2815	3583
440	2821	3576
441	2828	3570
442	2835	3564
443	2841	3557
444	2846	3550
445	2852	3543
446	2859	3537
447	2864	3529
448	2870	3522
449	2875	3514
450	2881	3507
451	2887	3500
452	2892	3493
453	2898	3486
454	2904	3478
455	2909	3471
456	2915	3464
457	2921	3457
458	2926	3449
459	2934	3445
460	2940	3438
461	2946	3431
462	2952	3424
463	2959	3418
464	2965	3411
465	2971	3405
466	2977	3398
467	2983	3391
468	2988	3383
469	2995	3378
470	3002	3371
471	3007	3364
472	3013	3357
473	3019	3350
474	3024	3343
475	3030	3336
476	3036	3329
477	3043	3323
478	3049	3317
479	3055	3310
480	3061	3303
481	3067	3296
482	3072	3288
483	3078	3282
484	3084	3274
485	3089	3267
486	3095	3260
487	3102	3255
488	3110	3250
489	3116	3243
490	3122	3237
491	3128	3230
492	3135	3224
493	3140	3217
494	3146	3210
495	3153	3204
496	3159	3197
497	3165	3190
498	3170	3183
499	3176	3176
500	3182	3169
501	3187	3162
502	3193	3155
503	3199	3148
504	3204	3141
505	3210	3134
506	3216	3127
507	3222	3121
508	3228	3114
509	3233	3106
510	3241	3102
511	3248	3095
512	3253	3088
513	3259	3082
514	3265	3074
515	3271	3068
516	3277	3062
517	3284	3056
518	3291	3050
519	3297	3043
520	3303	3036
521	3308	3030
522	3314	3023
523	3320	3016
524	3326	3009
525	3332	3002
526	3338	2996
527	3344	2989
528	3350	2983
529	3356	2976
530	3362	2970
531	3368	2963
532	3374	2956
533	3380	2949
534	3385	2942
535	3391	2936
536	3397	2929
537	3403	2922
538	3408	2915
539	3414	2908
540	3420	2902
541	3426	2895
542	3431	2888
543	3438	2882
544	3446	2877
545	3452	2870
546	3459	2864
547	3465	2858
548	3471	2851
549	3477	2844
550	3482	2838
551	3488	2831
552	3493	2824
553	3500	2818
554	3507	2812
555	3513	2806
556	3519	2799
557	3525	2792
558	3531	2785
559	3537	2779
560	3542	2772
561	3548	2765
562	3554	2758
563	3560	2752
564	3567	2746
565	3573	2739
566	3578	2733
567	3584	2726
568	3590	2719
569	3596	2713
570	3601	2706
571	3609	2700
572	3615	2694
573	3621	2687
574	3627	2681
575	3633	2674
576	3640	2668
577	3646	2662
578	3652	2655
579	3658	2649
580	3664	2642
581	3670	2636
582	3676	2629
583	3682	2623
584	3688	2616
585	3693	2609
586	3701	2604
587	3707	2597
588	3715	2592
589	3722	2587
590	3729	2581
591	3736	2575
592	3743	2569
593	3750	2563
594	3756	2557
595	3764	2551
596	3771	2545
597	3777	2539
598	3782	2532
599	3789	2526
600	3795	2519
601	3800	2512
602	3806	2505
603	3812	2499
604	3818	2493
605	3824	2486
606	3829	2479
607	3835	2473
608	3841	2466
609	3847	2459
610	3853	2453
611	3859	2446
612	3865	2440
613	3872	2434
614	3878	2428
615	3884	2421
616	3890	2414
617	3897	2409
618	3904	2403
619	3910	2396
620	3916	2390
621	3922	2383
622	3929	2377
623	3935	2371
624	3941	2364
625	3948	2358
626	3953	2352
627	3959	2345
628	3965	2338
629	3971	2332
630	3978	2326
631	3984	2320
632	3990	2313
633	3996	2306
634	4002	2300
635	4007	2293
636	4013	2286
637	4019	2280
638	4024	2273
639	4030	2267
640	4036	2260
641	4042	2254
642	4048	2247
643	4054	2241
644	4061	2235
645	4067	2229
646	4073	2222
647	4078	2215
648	4084	2209
649	4090	2202
650	4097	2196
651	4103	2190
652	4109	2183
653	4115	2177
654	4121	2170
655	4127	2164
656	4132	2157
657	4138	2151
658	4144	2144
659	4150	2137
660	4155	2131
661	4161	2124
662	4167	2118
663	4173	2112
664	4180	2105
665	4186	2099
666	4191	2092
667	4197	2086
668	4203	2079
669	4209	2073
670	4215	2066
671	4220	2060
672	4226	2053
673	4232	2047
674	4237	2040
675	4244	2034
676	4251	2028
677	4258	2022
678	4263	2015
679	4269	2009
680	4276	2003
681	4282	1996
682	4288	1990
683	4297	1985
684	4302	1978
685	4308	1972
686	4314	1965
687	4320	1959
688	4326	1952
689	4331	1946
690	4337	1939
691	4343	1933
692	4349	1926
693	4355	1920
694	4361	1914
695	4368	1907
696	4373	1901
697	4380	1895
698	4386	1889
699	4392	1882
700	4398	1876
701	4404	1869
702	4411	1863
703	4417	1857
704	4422	1850
705	4429	1844
706	4435	1838
707	4441	1831
708	4447	1825
709	4452	1818
710	4458	1812
711	4464	1805
712	4470	1799
713	4476	1792
714	4481	1786
715	4487	1780
716	4494	1774
717	4500	1767
718	4506	1761
719	4511	1754
720	4517	1748
721	4523	1741
722	4529	1735
723	4534	1728
724	4540	1722
725	4546	1716
726	4552	1709
727	4558	1703
728	4564	1696
729	4570	1690
730	4576	1684
731	4582	1677
732	4588	1671
733	4595	1665
734	4601	1659
735	4607	1652
736	4613	1646
737	4618	1639
738	4624	1633
739	4630	1626
740	4635	1620
741	4641	1613
742	4647	1607
743	4653	1601
744	4659	1594
745	4664	1588
746	4671	1582
747	4679	1576
748	4686	1570
749	4691	1563
750	4697	1557
751	4705	1551
752	4715	1546
753	4723	1541
754	4732	1535
755	4741	1530
756	4748	1524
757	4756	1518
758	4763	1512
759	4771	1506
760	4778	1500
761	4785	1494
762	4793	1489
763	4802	1483
764	4810	1477
765	4818	1472
766	4826	1466
767	4833	1460
768	4840	1454
769	4848	1448
770	4856	1442
771	4862	1435
772	4868	1429
773	4873	1423
774	4879	1416
775	4886	1410
776	4893	1404
777	4899	1398
778	4906	1391
779	4911	1385
780	4917	1378
781	4924	1372
782	4930	1366
783	4936	1359
784	4941	1353
785	4948	1347
786	4953	1340
787	4959	1334
788	4965	1327
789	4971	1321
790	4977	1315
791	4983	1308
792	4989	1302
793	4995	1296
794	5001	1289
795	5006	1283
796	5013	1277
797	5019	1270
798	5025	1264
799	5031	1257
800	5037	1251
801	5043	1245
802	5049	1238
803	5055	1232
804	5061	1226
805	5068	1219
806	5076	1214
807	5082	1207
808	5088	1201
809	5110	1198
810	5130	1195
811	5142	1190
812	5150	1184
813	5157	1178
814	5166	1172
815	5173	1166
816	5180	1160
817	5185	1153
818	5191	1147
819	5197	1140
820	5202	1134
821	5209	1128
822	5215	1121
823	5221	1115
824	5227	1108
825	5232	1102
826	5239	1096
827	5246	1089
828	5252	1083
829	5258	1077
830	5264	1070
831	5271	1064
832	5276	1057
833	5282	1051
834	5288	1044
835	5294	1038
836	5300	1032
837	5306	1025
838	5312	1019
839	5317	1012
840	5323	1006
841	5329	1000
842	5334	993
843	5340	987
844	5347	980
845	5353	974
846	5359	968
847	5365	961
848	5371	955
849	5377	948
850	5382	942
851	5388	936
852	5394	929
853	5399	923
854	5406	916
855	5412	910
856	5419	904
857	5425	897
858	5431	891
859	5437	885
860	5443	878
861	5449	872
862	5456	866
863	5462	859
864	5468	853
865	5473	846
866	5479	840
867	5485	834
868	5490	827
869	5496	821
870	5502	814
871	5507	808
872	5513	802
873	5519	795
874	5525	789
875	5530	782
876	5536	776
877	5542	770
878	5547	763
879	5553	757
880	5562	751
881	5570	745
882	5576	738
883	5581	732
884	5587	726
885	5593	719
886	5599	713
887	5605	707
888	5611	700
889	5617	694
890	5623	687
891	5628	681
892	5634	675
893	5640	668
894	5646	662
895	5652	656
896	5657	649
897	5664	643
898	5670	637
899	5676	630
900	5682	624
901	5687	617
902	5694	611
903	5700	605
904	5705	598
905	5711	592
906	5717	586
907	5723	579
908	5730	573
909	5736	567
910	5742	560
911	5749	554
912	5755	548
913	5762	542
914	5768	535
915	5773	529
916	5779	523
917	5785	516
918	5792	510
919	5797	504
920	5803	497
921	5809	491
922	5815	485
923	5820	478
924	5826	472
925	5832	466
926	5837	459
927	5843	453
928	5849	447
929	5854	440
930	5860	434
931	5866	428
932	5872	421
933	5879	415
934	5886	409
935	5893	402
936	5899	396
937	5905	390
938	5911	384
939	5917	377
940	5923	371
941	5928	365
942	5934	358
943	5940	352
944	5946	346
945	5952	339
946	5961	333
947	5966	327
948	5972	320
949	5978	314
950	5985	308
951	5993	302
952	5998	295
953	6004	289
954	6010	283
955	6016	276
956	6022	270
957	6027	264
958	6033	257
959	6039	251
960	6045	245
961	6052	239
962	6057	232
963	6064	226
964	6070	220
965	6076	213
966	6081	207
967	6087	201
968	6094	194
969	6102	188
970	6109	182
971	6114	176
972	6120	169
973	6126	163
974	6132	157
975	6138	150
976	6143	144
977	6149	138
978	6155	132
979	6160	125
